original_column_name,column_name,column_description,data_format,value_description,column_description_CN,value_description_CN
name,name,,TEXT,,,
GDP_1994,GDP 1994,,DOUBLE,,,
GDP_1997,GDP 1997,,DOUBLE,,,
GDP_1998,GDP 1998,,DOUBLE,,,
GDP_1999,GDP 1999,,DOUBLE,,,
GDP_2000,GDP 2000,,DOUBLE,,,
pinyin_name,pinyin name,,TEXT,,,
Pop_0_14,Population 0 to 14,,DOUBLE,,,
Pop_15_64,Population 15 to 64,,DOUBLE,,,
Pop_65Plus,Population 65 Plus,"The field ""Pop_65Plus"" records the population aged 65 and above in this province",DOUBLE,,"字段""Pop_65Plus""记录这个省65岁以上的人口数量",
Pop_Female,Population Female,,DOUBLE,,,
Pop_Han,Population Han,,DOUBLE,,,
Pop_Male,Population Male,,DOUBLE,,,
Pop_Minori,Population Minority,"The field ""Pop_Minori"" records the population of ethnic minorities in this province",DOUBLE,,"字段""Pop_Minori""记录这个省少数民族人口的数量",
Pop_Rural,Population Rural,,DOUBLE,,,
Pop_Urban,Population Urban,,DOUBLE,,,
POPU,Population,"The field ""POPU"" records the current population of this province",DOUBLE,,"字段""POPU""记录这个省现在的人口数量",
administrative_divison_code,administrative divison code,,TEXT,,,
shape,shape,,MULTIPOLYGON,,,
