original_column_name,column_name,column_description,data_format,value_description,column_description_CN,value_description_CN
province,province,"The field ""province"" records the name of this province",TEXT,,"字段""province""记录这个省的名字",
administrative_division_code,administrative division code,,TEXT,,,
year_2023,year 2023,"The field ""year_2023"" records the GDP of this province for the year 2023",DOUBLE,,"字段""year_2023""记录这个省2023年的GDP",
year_2022,year 2022,,DOUBLE,,,
year_2021,year 2021,,DOUBLE,,,
year_2020,year 2020,,DOUBLE,,,
year_2019,year 2019,,DOUBLE,,,
year_2018,year 2018,,DOUBLE,,,
year_2017,year 2017,,DOUBLE,,,
year_2016,year 2016,,DOUBLE,,,
year_2015,year 2015,,DOUBLE,,,
year_2014,year 2014,,DOUBLE,,,
year_2013,year 2013,,DOUBLE,,,
year_2012,year 2012,,DOUBLE,,,
year_2011,year 2011,,DOUBLE,,,
year_2010,year 2010,,DOUBLE,,,
year_2009,year 2009,,DOUBLE,,,
year_2008,year 2008,,DOUBLE,,,
year_2007,year 2007,,DOUBLE,,,
year_2006,year 2006,,DOUBLE,,,
year_2005,year 2005,,DOUBLE,,,
year_2004,year 2004,,DOUBLE,,,
year_2003,year 2003,,DOUBLE,,,
year_2002,year 2002,,DOUBLE,,,
year_2001,year 2001,,DOUBLE,,,
year_2000,year 2000,,DOUBLE,,,
year_1999,year 1999,,DOUBLE,,,
year_1998,year 1998,,DOUBLE,,,
year_1997,year 1997,,DOUBLE,,,
year_1996,year 1996,,DOUBLE,,,
year_1995,year 1995,,DOUBLE,,,
year_1994,year 1994,,DOUBLE,,,
year_1993,year 1993,,DOUBLE,,,
year_1992,year 1992,,DOUBLE,,,
